"doc_id","gloss","n_certain_emotion"
"371308","our book has something like jelly jars and jam and she's not really certain about that sort of thing",1
"545276","I hafta call the driver today to make certain he's gonna pick her up",1
"602641","you can tape I and just say that ah that this is certain certain time",1
"764194","I mean there's certain ways of cooking that you know they feel that that um ah then maintain certain standard xxx",1
"767526","you know when people are polite and they ask certain things certain in nice ways they get it",1
"1005121","that's one thing you can usually be certain about",1
"1097457","she knew her plan would work for the magic spell of sleeping death could be broken only by love's first kiss and the queen was certain no lover would find Snow White asleep in the forest",1
"1184301","that's certain said father",1
"1333544","so I can't say for certain",1
"1457650","it's a certain kinda snake that has this big top on its head",1
"1490489","there there's a certain yeah there's a certain just alienness or um unknown about animals that scares that scares me",2
"1511526","I'm not certain why he has a cross on his chest",1
"1511761","so I'm not certain if all cobras have that or not but this one does",1
"2597825","oh yeah yeah yeah that's when she wants to do to certain for for career day she wants to be a certain thing",1
"2807108","are there certain are there any of the toys that um that you think are good for his personality",1
"2842200","um she had the applesauce but I'm not certain she knows what this is",1
"2843104","cause there certain you know there's certain things you hafta do so",1
"2849875","yes he's never seen an ostrich before even in a book I'm pretty certain",1
"17439968","a certain someone that you love that lives with auntie",1
"17466956","you hafta you're birthday has to be a certain like you know the cut off was very wishy washy kinda",1
"17501783","I'd been certain that Eric had the same feelings for me as I did for him but now it was too late",1
"17516746","there are certain important things and a good breakfast is one of them",1
"17600739","it has a certain somebody on it that you like",1
"17641758","xxx only focus on uh certain uh",1
"17662427","it was certain",1
"17671589","you know what it just occurred to me that we probably need batteries for this I'm not certain that I have batteries but",1
"17679994","not certain how we're gonna get her outta there but",1
"17686478","I am so certain that you were playing with it",1
"17714307","I'm not certain that that would go there William",1
"17724249","I think Simba's daddy is wherever you left it and I'm not quite certain where that would be",1
