"ambiguous_word","id","gloss","role_category","gloss_lower"
"rotten",319754,"that's the old rotten boyfriend Scott","Mother","that's the old rotten boyfriend scott"
"rotten",353148,"a rotten chicken","Other Adult","a rotten chicken"
"alarm",366679,"here's an alarm clock","Mother","here's an alarm clock"
"odd",368924,"snaps is odd except that all baby uh uh t+shirts have snaps on so they're introduced to snaps very early","Mother","snaps is odd except that all baby uh uh t+shirts have snaps on so they're introduced to snaps very early"
"odd",375262,"that's a kitty cat kind of an odd looking one but","Other Adult","that's a kitty cat kind of an odd looking one but"
"alarm",380069,"does it have an alarm","Other Adult","does it have an alarm"
"alarm",380084,"is it an alarm clock","Other Adult","is it an alarm clock"
"ill",395295,"put um um I will put it in the stove so ill cook and I will and I will eat it pertend","Target Child","put um um i will put it in the stove so ill cook and i will and i will eat it pertend"
"alarm",398076,"as_soon_as the alarm rang","Other Adult","as_soon_as the alarm rang"
"alarm",398089,"see there's the alarm going beep bee bee beep bing bing","Other Adult","see there's the alarm going beep bee bee beep bing bing"
"crushed",399277,"big rocks were put into the rock crusher to be crushed into smaller stones","Other Adult","big rocks were put into the rock crusher to be crushed into smaller stones"
"rotten",429206,"there was rotten apples down there where we were and it go whkwhk","Target Child","there was rotten apples down there where we were and it go whkwhk"
"rotten",436938,"this is old rotten wood","Target Child","this is old rotten wood"
"odd",450183,"oh my throat is turning odd it's cause of the macaroni and cheese","Target Child","oh my throat is turning odd it's cause of the macaroni and cheese"
"rotten",451134,"it smells like rotten Cheerios","Target Child","it smells like rotten cheerios"
"faint",452728,"it it makes you faint","Target Child","it it makes you faint"
"odd",543852,"there are lots a odd there are lets of odd gloves","Mother","there are lots a odd there are lets of odd gloves"
"odd",543876,"odd gloves","Target Child","odd gloves"
"odd",543891,"you keep the odd gloves longer than you do the ones that match","Target Child","you keep the odd gloves longer than you do the ones that match"
"odd",543924,"the odd gloves you never loose right","Target Child","the odd gloves you never loose right"
"crushed",553554,"crushed it","Other Child","crushed it"
