"word","count","freq_per_1000_words"
"emotion_count",154259,16.6500679401867
"good",31686,3.42005362897955
"want",30300,3.27045461585812
"like",23686,2.55656726175629
"sure",6587,0.710973087612457
"funny",4130,0.445774837079011
"love",3622,0.390943452760334
"hungry",3439,0.371191202110102
"silly",3022,0.326181975218589
"bad",2984,0.322080414974278
"careful",2763,0.298226604079736
"sorry",2734,0.295096465998551
"hurt",2700,0.291426648937852
"happy",2466,0.266169672696572
"tired",1691,0.182519430871818
"well",1562,0.168595713200343
"interested",1349,0.145605388673023
"wonder",1270,0.137078460796694
"fine",1242,0.134056258511412
"warm",1129,0.121859513574383
"scared",1037,0.111929420351316
"sleepy",979,0.105669144188947
"alone",965,0.104158043046307
"hope",963,0.103942171454501
"quiet",959,0.103510428270889
"sick",958,0.103402492474986
"welcome",933,0.100704097577413
"sad",926,0.0999485470060931
"mad",801,0.0864565725182296
"strong",749,0.0808439111312783
"gentle",641,0.0691868451737642
"afraid",596,0.0643297343581333
"crazy",585,0.0631424406032014
"thirsty",575,0.0620630826441723
"glad",554,0.0597964309302112
"worry",538,0.0580694581957647
"wonderful",530,0.0572059718285414
"angry",440,0.0474917501972797
"surprised",415,0.0447933552997069
"excited",400,0.0431743183611633
"surprise",398,0.0429584467693575
"hate",368,0.0397203728922703
"lucky",367,0.0396124370963673
"weird",357,0.0385330791373383
"safe",341,0.0368061064028917
"terrible",327,0.035295005260251
"strange",315,0.0339997757094161
"awful",299,0.0322728029749696
"interest",290,0.0313013808118434
"friendly",259,0.0279553711388532
"upset",247,0.0266601415880184
"low",243,0.0262283984044067
"comfortable",226,0.0243934898740573
"enjoy",219,0.0236379393027369
"terrific",211,0.0227744529355137
"stupid",202,0.0218030307723875
"proud",194,0.0209395444051642
"worried",187,0.0201839938338439
"curious",170,0.0183490853034944
"serious",170,0.0183490853034944
"calm",165,0.0178094063239799
"shy",165,0.0178094063239799
"brave",152,0.0164062409772421
"horrible",141,0.0152189472223101
"sore",140,0.0151110114264072
"dizzy",132,0.0142475250591839
"bored",129,0.0139237176714752
"confused",124,0.0133840386919606
"lonely",114,0.0123046807329315
"nervous",109,0.011765001753417
"lazy",99,0.0106856437943879
"itchy",98,0.010577707998485
"unhappy",98,0.010577707998485
"frustrated",96,0.0103618364066792
"frightened",89,0.00960628583535884
"odd",89,0.00960628583535884
"merry",88,0.00949835003945593
"doubt",87,0.00939041424355302
"appreciate",84,0.0090666068558443
"shame",84,0.0090666068558443
"fear",79,0.00852692787632976
"ridiculous",78,0.00841899208042685
"joy",77,0.00831105628452394
"pain",71,0.00766344150910649
"pride",63,0.00679995514188322
"pleased",61,0.00658408355007741
"fascinated",60,0.0064761477541745
"concerned",59,0.00636821195827159
"impressed",59,0.00636821195827159
"peaceful",56,0.00604440457056286
"weak",55,0.00593646877465996
"patient",49,0.00528885399924251
"trust",49,0.00528885399924251
"uncomfortable",48,0.0051809182033396
"kind",47,0.00507298240743669
"bitter",46,0.00496504661153378
"greedy",46,0.00496504661153378
"grouchy",46,0.00496504661153378
"pleasure",46,0.00496504661153378
"loving",45,0.00485711081563087
"amazed",44,0.00474917501972797
"aware",44,0.00474917501972797
"jealous",44,0.00474917501972797
"threatened",43,0.00464123922382506
"determined",42,0.00453330342792215
"powerful",40,0.00431743183611633
"disappointed",39,0.00420949604021342
"sexy",35,0.00377775285660179
"shock",35,0.00377775285660179
"courage",34,0.00366981706069888
"stubborn",34,0.00366981706069888
"attracted",33,0.00356188126479597
"violent",33,0.00356188126479597
"marvelous",32,0.00345394546889307
"certain",31,0.00334600967299016
"generous",29,0.00313013808118434
"pleasant",29,0.00313013808118434
"phony",28,0.00302220228528143
"shocked",28,0.00302220228528143
"exhausted",27,0.00291426648937852
"attractive",26,0.00280633069347562
"miserable",26,0.00280633069347562
"rotten",26,0.00280633069347562
"sensitive",26,0.00280633069347562
"cooperative",25,0.00269839489757271
"crabby",25,0.00269839489757271
"embarrassed",25,0.00269839489757271
"playful",25,0.00269839489757271
"respect",24,0.0025904591016698
"cruel",23,0.00248252330576689
"faithful",23,0.00248252330576689
"fond",23,0.00248252330576689
"happiness",23,0.00248252330576689
"thrilled",23,0.00248252330576689
"cheered",22,0.00237458750986398
"convinced",22,0.00237458750986398
"mischievous",22,0.00237458750986398
"vigor",22,0.00237458750986398
"foolish",21,0.00226665171396107
"aggressive",20,0.00215871591805817
"selfish",20,0.00215871591805817
"anxious",18,0.00194284432625235
"cheated",18,0.00194284432625235
"cheerful",18,0.00194284432625235
"tense",18,0.00194284432625235
"alert",17,0.00183490853034944
"ashamed",17,0.00183490853034944
"ill",17,0.00183490853034944
"impatient",17,0.00183490853034944
"peculiar",17,0.00183490853034944
"satisfied",17,0.00183490853034944
"relaxed",15,0.00161903693854362
"startled",15,0.00161903693854362
"thankful",15,0.00161903693854362
"accept",14,0.00151110114264072
"amusement",14,0.00151110114264072
"careless",14,0.00151110114264072
"delighted",14,0.00151110114264072
"fright",14,0.00151110114264072
"grateful",14,0.00151110114264072
"relief",14,0.00151110114264072
"aggravated",13,0.00140316534673781
"confident",13,0.00140316534673781
"dreadful",13,0.00140316534673781
"excitement",13,0.00140316534673781
"forgive",13,0.00140316534673781
"guilty",13,0.00140316534673781
"ignored",13,0.00140316534673781
"overwhelmed",13,0.00140316534673781
"protective",13,0.00140316534673781
"successful",13,0.00140316534673781
"delight",12,0.0012952295508349
"encouraged",12,0.0012952295508349
"meek",12,0.0012952295508349
"dull",11,0.00118729375493199
"furious",11,0.00118729375493199
"grief",11,0.00118729375493199
"lovable",11,0.00118729375493199
"regret",11,0.00118729375493199
"abandoned",10,0.00107935795902908
"anger",10,0.00107935795902908
"cautious",10,0.00107935795902908
"droopy",10,0.00107935795902908
"faint",10,0.00107935795902908
"lost",10,0.00107935795902908
"rested",10,0.00107935795902908
"secure",10,0.00107935795902908
"terrified",10,0.00107935795902908
"annoyed",9,0.000971422163126175
"confusion",9,0.000971422163126175
"daring",9,0.000971422163126175
"desire",9,0.000971422163126175
"dislike",9,0.000971422163126175
"pathetic",9,0.000971422163126175
"sadness",9,0.000971422163126175
"useless",9,0.000971422163126175
"confidence",8,0.000863486367223266
"fascination",8,0.000863486367223266
"fury",8,0.000863486367223266
"homesick",8,0.000863486367223266
"lousy",8,0.000863486367223266
"pity",8,0.000863486367223266
"purposeful",8,0.000863486367223266
"relieved",8,0.000863486367223266
"unpleasant",8,0.000863486367223266
"admire",7,0.000755550571320358
"affection",7,0.000755550571320358
"amused",7,0.000755550571320358
"concern",7,0.000755550571320358
"critical",7,0.000755550571320358
"encouragement",7,0.000755550571320358
"frustration",7,0.000755550571320358
"glorious",7,0.000755550571320358
"panic",7,0.000755550571320358
"suspicious",7,0.000755550571320358
"tender",7,0.000755550571320358
"alarmed",6,0.00064761477541745
"blue",6,0.00064761477541745
"bold",6,0.00064761477541745
"desperate",6,0.00064761477541745
"distressed",6,0.00064761477541745
"drowsy",6,0.00064761477541745
"gloomy",6,0.00064761477541745
"horror",6,0.00064761477541745
"inspired",6,0.00064761477541745
"irritated",6,0.00064761477541745
"lively",6,0.00064761477541745
"reckless",6,0.00064761477541745
"restless",6,0.00064761477541745
"thirst",6,0.00064761477541745
"vain",6,0.00064761477541745
"appreciation",5,0.000539678979514541
"beaten",5,0.000539678979514541
"competitive",5,0.000539678979514541
"crushed",5,0.000539678979514541
"curiosity",5,0.000539678979514541
"defensive",5,0.000539678979514541
"disgusted",5,0.000539678979514541
"disturbed",5,0.000539678979514541
"dreary",5,0.000539678979514541
"eager",5,0.000539678979514541
"enthusiasm",5,0.000539678979514541
"enthusiastic",5,0.000539678979514541
"exasperated",5,0.000539678979514541
"hopeless",5,0.000539678979514541
"hunger",5,0.000539678979514541
"lonesome",5,0.000539678979514541
"numb",5,0.000539678979514541
"optimistic",5,0.000539678979514541
"sincere",5,0.000539678979514541
"smug",5,0.000539678979514541
"suspicion",5,0.000539678979514541
"timid",5,0.000539678979514541
"tolerant",5,0.000539678979514541
"adore",4,0.000431743183611633
"affectionate",4,0.000431743183611633
"astonished",4,0.000431743183611633
"attraction",4,0.000431743183611633
"aversion",4,0.000431743183611633
"deflated",4,0.000431743183611633
"disappointment",4,0.000431743183611633
"distress",4,0.000431743183611633
"oppressed",4,0.000431743183611633
"petrified",4,0.000431743183611633
"rage",4,0.000431743183611633
"satisfaction",4,0.000431743183611633
"terror",4,0.000431743183611633
"adventurous",3,0.000323807387708725
"agitated",3,0.000323807387708725
"aloof",3,0.000323807387708725
"awe",3,0.000323807387708725
"contented",3,0.000323807387708725
"cowardly",3,0.000323807387708725
"depressed",3,0.000323807387708725
"deprived",3,0.000323807387708725
"despicable",3,0.000323807387708725
"determination",3,0.000323807387708725
"discouraged",3,0.000323807387708725
"dismay",3,0.000323807387708725
"dominated",3,0.000323807387708725
"emotional",3,0.000323807387708725
"envious",3,0.000323807387708725
"envy",3,0.000323807387708725
"insulted",3,0.000323807387708725
"intimate",3,0.000323807387708725
"intimidated",3,0.000323807387708725
"irritable",3,0.000323807387708725
"joyful",3,0.000323807387708725
"joyous",3,0.000323807387708725
"misery",3,0.000323807387708725
"nauseous",3,0.000323807387708725
"offended",3,0.000323807387708725
"rigid",3,0.000323807387708725
"sarcastic",3,0.000323807387708725
"shaken",3,0.000323807387708725
"skeptical",3,0.000323807387708725
"suffering",3,0.000323807387708725
"superior",3,0.000323807387708725
"suspense",3,0.000323807387708725
"uninterested",3,0.000323807387708725
"vanity",3,0.000323807387708725
"weary",3,0.000323807387708725
"abused",2,0.000215871591805817
"anxiety",2,0.000215871591805817
"arrogant",2,0.000215871591805817
"dazed",2,0.000215871591805817
"disagreeable",2,0.000215871591805817
"energetic",2,0.000215871591805817
"enjoyment",2,0.000215871591805817
"flabbergasted",2,0.000215871591805817
"glum",2,0.000215871591805817
"greed",2,0.000215871591805817
"hazy",2,0.000215871591805817
"helpless",2,0.000215871591805817
"hesitant",2,0.000215871591805817
"hopeful",2,0.000215871591805817
"horrified",2,0.000215871591805817
"hostile",2,0.000215871591805817
"inspiration",2,0.000215871591805817
"longing",2,0.000215871591805817
"modest",2,0.000215871591805817
"obstinate",2,0.000215871591805817
"passion",2,0.000215871591805817
"pitiful",2,0.000215871591805817
"remorse",2,0.000215871591805817
"resigned",2,0.000215871591805817
"self-conscious",2,0.000215871591805817
"sleepiness",2,0.000215871591805817
"solemn",2,0.000215871591805817
"spiteful",2,0.000215871591805817
"stunned",2,0.000215871591805817
"sympathy",2,0.000215871591805817
"triumphant",2,0.000215871591805817
"uncertain",2,0.000215871591805817
"uptight",2,0.000215871591805817
"virtue",2,0.000215871591805817
"agony",1,0.000107935795902908
"alarm",1,0.000107935795902908
"apprehensive",1,0.000107935795902908
"argumentative",1,0.000107935795902908
"baffled",1,0.000107935795902908
"beloved",1,0.000107935795902908
"carefree",1,0.000107935795902908
"charmed",1,0.000107935795902908
"competent",1,0.000107935795902908
"conceited",1,0.000107935795902908
"courageous",1,0.000107935795902908
"cruelty",1,0.000107935795902908
"defeated",1,0.000107935795902908
