"role_category","total_words","word","count","freq_per_1000_words"
"Father",943910,"emotion_count",25567,27.0862688180017
"Father",943910,"good",4704,4.98352597175578
"Father",943910,"like",4579,4.85109809197911
"Father",943910,"want",3942,4.17624561663718
"Father",943910,"well",3346,3.544829485862
"Father",943910,"sure",1056,1.11875072835334
"Father",943910,"kind",768,0.813636893347883
"Father",943910,"bad",692,0.733120742443665
"Father",943910,"love",479,0.507463635304213
"Father",943910,"hurt",473,0.501107097074933
"Father",943910,"funny",345,0.365500948183619
"Father",943910,"blue",293,0.310410950196523
"Father",943910,"sorry",265,0.280747105126548
"Father",943910,"happy",255,0.270152874744414
"Father",943910,"careful",250,0.264855759553347
"Father",943910,"tired",223,0.236251337521586
"Father",943910,"silly",189,0.20023095422233
"Father",943910,"hungry",181,0.191755569916623
"Father",943910,"fine",158,0.167388840037715
"Father",943910,"welcome",155,0.164210570923075
"Father",943910,"high",149,0.157854032693795
"Father",943910,"sick",145,0.153616340540941
"Father",943910,"hope",138,0.146200379273448
"Father",943910,"mad",126,0.133487302814887
"Father",943910,"lost",125,0.132427879776674
"Father",943910,"warm",109,0.115477111165259
"Father",943910,"wonder",108,0.114417688127046
"Father",943910,"glad",97,0.102764034706699
"Father",943910,"quiet",93,0.0985263425538452
"Father",943910,"scared",87,0.0921698043245648
"Father",943910,"sad",79,0.0836944200188577
"Father",943910,"afraid",77,0.081575573942431
"Father",943910,"strong",76,0.0805161509042176
"Father",943910,"crazy",71,0.0752190357131506
"Father",943910,"alone",70,0.0741596126749372
"Father",943910,"worry",63,0.0667436514074435
"Father",943910,"terrible",56,0.0593276901399498
"Father",943910,"wonderful",54,0.057208844063523
"Father",943910,"horrible",53,0.0561494210253096
"Father",943910,"hate",50,0.0529711519106694
"Father",943910,"thirsty",50,0.0529711519106694
"Father",943910,"angry",48,0.0508523058342427
"Father",943910,"lucky",43,0.0455551906431757
"Father",943910,"sleepy",43,0.0455551906431757
"Father",943910,"worried",40,0.0423769215285356
"Father",943910,"stupid",33,0.0349609602610418
"Father",943910,"merry",30,0.0317826911464017
"Father",943910,"strange",30,0.0317826911464017
"Father",943910,"surprise",30,0.0317826911464017
"Father",943910,"upset",30,0.0317826911464017
"Father",943910,"low",29,0.0307232681081883
"Father",943910,"surprised",28,0.0296638450699749
"Father",943910,"awful",27,0.0286044220317615
"Father",943910,"friendly",27,0.0286044220317615
"Father",943910,"sore",27,0.0286044220317615
"Father",943910,"weird",24,0.0254261529171213
"Father",943910,"rotten",23,0.0243667298789079
"Father",943910,"safe",22,0.0233073068406946
"Father",943910,"confused",21,0.0222478838024812
"Father",943910,"serious",21,0.0222478838024812
"Father",943910,"sexy",21,0.0222478838024812
"Father",943910,"terrific",21,0.0222478838024812
"Father",943910,"violent",21,0.0222478838024812
"Father",943910,"frightened",19,0.0201290377260544
"Father",943910,"brave",18,0.019069614687841
"Father",943910,"comfortable",18,0.019069614687841
"Father",943910,"dizzy",18,0.019069614687841
"Father",943910,"doubt",18,0.019069614687841
"Father",943910,"interested",18,0.019069614687841
"Father",943910,"excited",16,0.0169507686114142
"Father",943910,"gentle",16,0.0169507686114142
"Father",943910,"enjoy",15,0.0158913455732008
"Father",943910,"unhappy",15,0.0158913455732008
"Father",943910,"certain",14,0.0148319225349874
"Father",943910,"lazy",14,0.0148319225349874
"Father",943910,"proud",14,0.0148319225349874
"Father",943910,"ridiculous",12,0.0127130764585607
"Father",943910,"selfish",12,0.0127130764585607
"Father",943910,"moved",11,0.0116536534203473
"Father",943910,"nervous",11,0.0116536534203473
"Father",943910,"pain",11,0.0116536534203473
"Father",943910,"touched",11,0.0116536534203473
"Father",943910,"trust",11,0.0116536534203473
"Father",943910,"bored",10,0.0105942303821339
"Father",943910,"calm",10,0.0105942303821339
"Father",943910,"patient",10,0.0105942303821339
"Father",943910,"pleasure",10,0.0105942303821339
"Father",943910,"shy",10,0.0105942303821339
"Father",943910,"cooperative",9,0.0095348073439205
"Father",943910,"generous",9,0.0095348073439205
"Father",943910,"powerful",9,0.0095348073439205
"Father",943910,"weak",9,0.0095348073439205
"Father",943910,"convinced",8,0.00847538430570711
"Father",943910,"happiness",8,0.00847538430570711
"Father",943910,"amazed",7,0.00741596126749372
"Father",943910,"appreciate",7,0.00741596126749372
"Father",943910,"jealous",7,0.00741596126749372
"Father",943910,"alert",6,0.00635653822928033
"Father",943910,"cheated",6,0.00635653822928033
"Father",943910,"curious",6,0.00635653822928033
"Father",943910,"foolish",6,0.00635653822928033
"Father",943910,"itchy",6,0.00635653822928033
"Father",943910,"lonely",6,0.00635653822928033
"Father",943910,"thankful",6,0.00635653822928033
"Father",943910,"anger",5,0.00529711519106695
"Father",943910,"greedy",5,0.00529711519106695
"Father",943910,"relief",5,0.00529711519106695
"Father",943910,"rested",5,0.00529711519106695
"Father",943910,"sadness",5,0.00529711519106695
"Father",943910,"shame",5,0.00529711519106695
"Father",943910,"shocked",5,0.00529711519106695
"Father",943910,"suspicion",5,0.00529711519106695
"Father",943910,"bitter",4,0.00423769215285356
"Father",943910,"careless",4,0.00423769215285356
"Father",943910,"frustrated",4,0.00423769215285356
"Father",943910,"impressed",4,0.00423769215285356
"Father",943910,"pity",4,0.00423769215285356
"Father",943910,"pleased",4,0.00423769215285356
"Father",943910,"tense",4,0.00423769215285356
"Father",943910,"terrified",4,0.00423769215285356
"Father",943910,"accept",3,0.00317826911464017
"Father",943910,"concerned",3,0.00317826911464017
"Father",943910,"despicable",3,0.00317826911464017
"Father",943910,"determined",3,0.00317826911464017
"Father",943910,"disappointed",3,0.00317826911464017
"Father",943910,"fascinated",3,0.00317826911464017
"Father",943910,"forgive",3,0.00317826911464017
"Father",943910,"grateful",3,0.00317826911464017
"Father",943910,"impatient",3,0.00317826911464017
"Father",943910,"joy",3,0.00317826911464017
"Father",943910,"lousy",3,0.00317826911464017
"Father",943910,"loving",3,0.00317826911464017
"Father",943910,"petrified",3,0.00317826911464017
"Father",943910,"relaxed",3,0.00317826911464017
"Father",943910,"sensitive",3,0.00317826911464017
"Father",943910,"abandoned",2,0.00211884607642678
"Father",943910,"alarm",2,0.00211884607642678
"Father",943910,"amusement",2,0.00211884607642678
"Father",943910,"anxious",2,0.00211884607642678
"Father",943910,"concern",2,0.00211884607642678
"Father",943910,"confidence",2,0.00211884607642678
"Father",943910,"confident",2,0.00211884607642678
"Father",943910,"critical",2,0.00211884607642678
"Father",943910,"crushed",2,0.00211884607642678
"Father",943910,"dislike",2,0.00211884607642678
"Father",943910,"eager",2,0.00211884607642678
"Father",943910,"exasperated",2,0.00211884607642678
"Father",943910,"exhausted",2,0.00211884607642678
"Father",943910,"faithful",2,0.00211884607642678
"Father",943910,"fear",2,0.00211884607642678
"Father",943910,"homesick",2,0.00211884607642678
"Father",943910,"ill",2,0.00211884607642678
"Father",943910,"irritated",2,0.00211884607642678
"Father",943910,"joyous",2,0.00211884607642678
"Father",943910,"marvelous",2,0.00211884607642678
"Father",943910,"mischievous",2,0.00211884607642678
"Father",943910,"miserable",2,0.00211884607642678
"Father",943910,"obstinate",2,0.00211884607642678
"Father",943910,"odd",2,0.00211884607642678
"Father",943910,"playful",2,0.00211884607642678
"Father",943910,"remorse",2,0.00211884607642678
"Father",943910,"satisfaction",2,0.00211884607642678
"Father",943910,"shock",2,0.00211884607642678
"Father",943910,"skeptical",2,0.00211884607642678
"Father",943910,"threatened",2,0.00211884607642678
"Father",943910,"abused",1,0.00105942303821339
"Father",943910,"affection",1,0.00105942303821339
"Father",943910,"affectionate",1,0.00105942303821339
"Father",943910,"agony",1,0.00105942303821339
"Father",943910,"alarmed",1,0.00105942303821339
"Father",943910,"annoyed",1,0.00105942303821339
"Father",943910,"argumentative",1,0.00105942303821339
"Father",943910,"attraction",1,0.00105942303821339
"Father",943910,"aware",1,0.00105942303821339
"Father",943910,"beaten",1,0.00105942303821339
"Father",943910,"cheered",1,0.00105942303821339
"Father",943910,"cruel",1,0.00105942303821339
"Father",943910,"defiant",1,0.00105942303821339
"Father",943910,"deflated",1,0.00105942303821339
"Father",943910,"delighted",1,0.00105942303821339
"Father",943910,"deprived",1,0.00105942303821339
"Father",943910,"disappointment",1,0.00105942303821339
"Father",943910,"discouraged",1,0.00105942303821339
"Father",943910,"distress",1,0.00105942303821339
"Father",943910,"dreary",1,0.00105942303821339
"Father",943910,"drowsy",1,0.00105942303821339
"Father",943910,"dull",1,0.00105942303821339
"Father",943910,"enthusiastic",1,0.00105942303821339
"Father",943910,"fatigue",1,0.00105942303821339
"Father",943910,"fond",1,0.00105942303821339
"Father",943910,"grief",1,0.00105942303821339
"Father",943910,"grouchy",1,0.00105942303821339
"Father",943910,"guilt",1,0.00105942303821339
"Father",943910,"guilty",1,0.00105942303821339
"Father",943910,"hunger",1,0.00105942303821339
"Father",943910,"interest",1,0.00105942303821339
"Father",943910,"intimate",1,0.00105942303821339
"Father",943910,"intimidated",1,0.00105942303821339
"Father",943910,"irritable",1,0.00105942303821339
"Father",943910,"numb",1,0.00105942303821339
"Father",943910,"offended",1,0.00105942303821339
"Father",943910,"overjoyed",1,0.00105942303821339
"Father",943910,"pathetic",1,0.00105942303821339
"Father",943910,"peculiar",1,0.00105942303821339
"Father",943910,"peeved",1,0.00105942303821339
"Father",943910,"phony",1,0.00105942303821339
"Father",943910,"pleasant",1,0.00105942303821339
"Father",943910,"pride",1,0.00105942303821339
"Father",943910,"regret",1,0.00105942303821339
"Father",943910,"relieved",1,0.00105942303821339
"Father",943910,"resent",1,0.00105942303821339
"Father",943910,"resigned",1,0.00105942303821339
