Word,Affective Condition,Cognitive Condition,Physical and Bodily States,External Conditions,Noncausative Verb
abandoned,No,No,No,Yes,No
abused,No,No,No,Yes,No
accept,No,No,No,No,Yes
admiration,Yes,No,No,No,No
admire,No,No,No,No,Yes
adore,No,No,No,No,Yes
adventurous,No,Yes,No,No,No
affection,Yes,No,No,No,No
affectionate,Yes,No,No,No,No
afraid,Yes,No,No,No,No
aggravated,Yes,No,No,No,No
aggressive,No,No,No,Yes,No
aggrieved,Yes,No,No,No,No
agitated,Yes,No,No,No,No
agitation,Yes,N o,No,No,No
agony,Yes,No,No,No,No
alarm,Yes,No,No,No,No
alarmed,Yes,No,No,No,No
alert,No,No,Yes,No,No
alertness,No,No,Yes,No,No
alone,No,No,No,Yes,No
aloof,No,Yes,No,No,No
amazed,Yes,No,No,No,No
amused,Yes,No,No,No,No
amusement,No,Yes,No,No,No
anger,Yes,No,No,No,No
angry,Yes,No,No,No,No
anguish,Yes,No,No,No,No
anguished,Yes,No,No,No,No
annoyed,Yes,No,No,No,No
antagonistic,No,No,No,Yes,No
anxiety,Yes,No,No,No,No
anxious,Yes,No,No,No,No
apathetic,No,Yes,No,No,No
apathy,Yes,No,No,No,No
apologetic,No,Yes,No,No,No
appreciate,No,No,No,No,Yes
appreciation,Yes,No,No,No,No
apprehensive,No,Yes,No,No,No
approve-of,No,No,No,No,Yes
argumentative,Yes,No,No,No,No
arousal,Yes,No,No,No,No
aroused,Yes,No,No,No,No
arrogant,No,No,Yes,No,No
ashamed,Yes,No,No,No,No
astonished,Yes,No,No,No,No
at-ease,No,Yes,No,No,No
at-peace,Yes,No,No,No,No
attracted,Yes,No,No,No,No
attraction,No,Yes,No,No,No
attractive,No,No,No,Yes,No
aversion,No,Yes,No,No,No
aware,No,No,Yes,No,No
awe,Yes,No,No,No,No
awestruck,Yes,No,No,No,No
awful,No,No,No,Yes,No
bad,No,No,No,Yes,No
baffled,No,Yes,No,No,No
beaten,No,No,No,Yes,No
beloved,No,Yes,No,No,No
benevolent,No,No,No,Yes,No
bereft,No,No,No,Yes,No
bewildered,Yes,No,No,No,No
bitchy,Yes,No,No,No,No
bitter,Yes,No,No,No,No
blue,Yes,No,No,No,No
bold,No,No,No,Yes,No
bored,Yes,No,No,No,No
boredom,No,No,Yes,No,No
brave,No,No,No,Yes,No
breathless,No,No,Yes,No,No
brokenhearted,Yes,No,No,No,No
burdened,No,Yes,No,No,No
calm,No,No,No,Yes,No
carefree,No,Yes,No,No,No
careful,No,No,Yes,No,No
careless,No,No,No,Yes,No
cautious,No,Yes,No,No,No
certain,No,Yes,No,No,No
charitable,No,Yes,No,No,No
charmed,No,Yes,No,No,No
cheated,No,No,No,Yes,No
cheered,Yes,No,No,No,No
cheerful,Yes,No,No,No,No
cheerfulness,Yes,No,No,No,No
cheerless,No,Yes,No,No,No
comfortable,Yes,Yes,No,No,No
compassion,Yes,No,No,No,No
compassionate,Yes,No,No,No,No
competent,No,Yes,No,No,No
competitive,No,No,No,Yes,No
complacent,No,Yes,No,No,No
conceit,No,No,Yes,No,No
conceited,No,No,No,Yes,No
concern,Yes,No,No,No,No
concerned,Yes,No,No,No,No
confidence,No,Yes,No,No,No
confident,No,Yes,No,No,No
confused,No,Yes,No,No,No
confusion,No,Yes,No,No,No
conscientious,No,Yes,No,No,No
consolation,No,No,No,Yes,No
consoled,Yes,No,No,No,No
contempt,Yes,No,No,No,No
contemptible,No,Yes,No,No,No
contemptuous,Yes,No,No,No,No
contented,Yes,No,No,No,No
contentment,Yes,No,No,No,No
contrite,No,Yes,No,No,No
convinced,No,No,Yes,No,No
cooperative,No,No,Yes,No,No
courage,Yes,No,No,No,No
courageous,No,No,No,Yes,No
cowardly,No,Yes,No,No,No
crabby,No,No,No,Yes,No
crazy,No,No,No,Yes,No
critical,No,Yes,No,No,No
cruel,No,No,No,Yes,No
cruelty,No,Yes,No,No,No
crushed,Yes,No,No,No,No
curiosity,No,Yes,No,No,No
curious,No,No,Yes,No,No
cynical,No,Yes,No,No,No
daring,No,No,No,Yes,No
dazed,No,No,Yes,No,No
defeated,No,No,No,Yes,No
defensive,No,Yes,No,No,No
defiant,No,Yes,No,No,No
deflated,No,Yes,No,No,No
degraded,No,No,No,Yes,No
dejected,No,No,No,Yes,No
dejection,Yes,No,No,No,No
delight,Yes,No,No,No,No
delighted,Yes,No,No,No,No
dependent,Yes,Yes,No,No,No
depressed,Yes,No,No,No,No
depression,Yes,No,No,No,No
deprived,No,No,No,Yes,No
desire,Yes,No,No,No,Yes
despair,Yes,No,No,No,No
desperate,Yes,No,No,No,No
despicable,No,No,No,Yes,No
despise,No,No,No,No,Yes
despondent,Yes,No,No,No,No
determination,Yes,No,No,No,No
determined,No,Yes,No,No,No
detest,No,No,No,No,Yes
devoted,No,Yes,No,No,No
devotion,No,No,Yes,No,No
disagreeable,No,Yes,No,No,No
disappointed,Yes,No,No,No,No
disappointment,Yes,No,No,No,No
disapprove-of,No,No,No,No,Yes
discontented,Yes,No,No,No,No
discouraged,Yes,No,No,No,No
disenchanted,Yes,No,No,No,No
disgraced,Yes,No,No,No,No
disgust,Yes,No,No,No,No
disgusted,Yes,No,No,No,No
disheartened,Yes,No,No,No,No
disillusioned,Yes,No,No,No,No
dislike,No,No,No,No,Yes
dismay,Yes,No,No,No,No
dismayed,Yes,No,No,No,No
displeased,Yes,No,No,No,No
dissatisfied,Yes,No,No,No,No
distress,Yes,No,No,No,No
distressed,Yes,No,No,No,No
disturbed,Yes,No,No,No,No
dizzy,No,No,Yes,No,No
dominated,No,Yes,No,No,No
doubt,No,No,Yes,No,No
doubtful,No,Yes,No,No,No
downhearted,Yes,No,No,No,No
dread,Yes,No,No,No,No
dreadful,No,Yes,No,No,No
dreary,No,Yes,No,No,No
droopy,No,No,Yes,No,No
drowsy,No,No,Yes,No,No
dull,No,Yes,No,No,No
eager,No,Yes,No,No,No
earnest,No,No,Yes,No,No
ecstasy,Yes,No,No,No,No
ecstatic,Yes,No,No,No,No
elated,Yes,No,No,No,No
elation,Yes,No,No,No,No
embarrassed,Yes,No,No,No,No
embarrassment,Yes,No,No,No,No
emotional,Yes,No,No,No,No
empathy,Yes,No,No,No,No
encouraged,No,Yes,No,No,No
encouragement,No,No,Yes,No,No
energetic,No,Yes,No,No,No
enjoy,No,No,No,No,Yes
enjoyment,Yes,No,No,No,No
enthusiasm,Yes,No,No,No,No
enthusiastic,No,Yes,No,No,No
envious,Yes,No,No,No,No
envy,Yes,No,No,No,No
euphoria,Yes,No,No,No,No
euphoric,Yes,No,No,No,No
exasperated,Yes,No,No,No,No
exasperation,Yes,No,No,No,No
excited,Yes,No,No,No,No
excitement,Yes,No,No,No,No
exhausted,No,No,Yes,No,No
exhaustion,No,No,Yes,No,No
expectant,No,Yes,No,No,No
faint,No,No,Yes,No,No
faithful,No,Yes,No,No,No
fascinated,No,Yes,No,No,No
fascination,No,Yes,No,No,No
fatigue,No,No,Yes,No,No
fatigued,No,No,Yes,No,No
fear,Yes,No,No,No,No
fearful,No,No,No,Yes,No
fed-up,Yes,No,No,No,No
feverish,No,No,Yes,No,No
fine,No,No,No,Yes,No
flabbergasted,Yes,No,No,No,No
fond,Yes,No,No,No,No
fondness,Yes,No,No,No,No
foolish,No,No,No,Yes,No
forgive,No,No,No,No,Yes
friendliness,Yes,No,No,No,No
friendly,No,No,No,Yes,No
fright,Yes,No,No,No,No
frightened,Yes,No,No,No,No
frustrated,Yes,No,No,No,No
frustration,Yes,No,No,No,No
fulfilled,Yes,No,No,No,No
funny,No,No,No,Yes,No
furious,Yes,No,No,No,No
fury,Yes,No,No,No,No
gaiety,Yes,No,No,No,No
generous,No,Yes,No,No,No
gentle,No,No,No,Yes,No
glad,No,No,No,Yes,No
gleeful,Yes,No,No,No,No
gloomy,Yes,No,No,No,No
glorious,No,No,No,Yes,No
glum,Yes,No,No,No,No
good,No,No,No,Yes,No
grateful,Yes,No,No,No,No
gratified,Yes,No,No,No,No
gratitude,No,Yes,No,No,No
greed,No,Yes,No,No,No
greedy,No,Yes,No,No,No
grief,Yes,No,No,No,No
grief-stricken,Yes,No,No,No,No
grieve,No,No,No,No,Yes
grouchy,Yes,No,No,No,No
guilt,Yes,No,No,No,No
guiltless,No,No,No,Yes,No
guilty,No,No,No,Yes,No
happiness,Yes,No,No,No,No
happy,Yes,No,No,No,No
hate,Yes,No,No,No,Yes
hateful,Yes,No,No,No,No
hazy,No,No,Yes,No,No
heart-stricken,Yes,No,No,No,No
heartbroken,Yes,No,No,No,No
heartened,Yes,No,No,No,No
heartsick,Yes,No,No,No,No
heartsore,No,No,No,Yes,No
heavy-hearted,No,No,No,Yes,No
helpless,No,No,No,Yes,No
hesitant,No,Yes,No,No,No
high,No,No,No,Yes,No
homesick,Yes,No,No,No,No
hope,Yes,No,No,No,No
hopeful,Yes,No,No,No,No
hopeless,Yes,No,No,No,No
hopelessness,Yes,No,No,No,No
horrible,No,No,No,Yes,No
horrified,Yes,No,No,No,No
horror,Yes,No,No,No,No
hostile,Yes,No,No,No,No
hostility,Yes,No,No,No,No
humble,No,Yes,No,No,No
humiliated,No,No,No,Yes,No
humiliation,Yes,No,No,No,No
hung-up,No,Yes,No,No,No
hunger,No,No,Yes,No,No
hungry,No,No,Yes,No,No
hurt,No,No,No,No,No
ignored,No,No,No,Yes,No
ill,No,No,Yes,No,No
ill-at-ease,Yes,No,No,No,No
impatience,No,No,Yes,No,No
impatient,Yes,No,No,No,No
impotent,No,No,No,Yes,No
impressed,No,Yes,No,No,No
in-love,Yes,No,No,No,No
inadequate,No,No,No,Yes,No
incensed,Yes,No,No,No,No
incredulous,No,Yes,No,No,No
indifference,No,No,Yes,No,No
indifferent,No,Yes,No,No,No
indignant,No,Yes,No,No,No
ineffective,No,No,No,Yes,No
infatuated,Yes,No,No,No,No
infatuation,Yes,No,No,No,No
inferior,No,No,No,Yes,No
inhibited,No,No,No,Yes,No
insecure,No,No,No,Yes,No
inspiration,No,Yes,No,No,No
inspired,No,Yes,No,No,No
insulted,No,No,No,Yes,No
interest,No,No,Yes,No,No
interested,No,Yes,No,No,No
intimate,Yes,No,No,No,No
intimidated,Yes,No,No,No,No
irate,Yes,No,No,No,No
irked,Yes,No,No,No,No
irritable,No,No,No,Yes,No
irritated,Yes,No,No,No,No
irritation,Yes,No,No,No,No
isolated,Yes,No,No,No,No
itchy,No,No,Yes,No,No
jealous,Yes,No,No,No,No
jealousy,Yes,No,No,No,No
jittery,No,Yes,No,No,No
joy,Yes,No,No,No,No
joyful,Yes,No,No,No,No
joyless,No,No,No,Yes,No
joyous,Yes,No,No,No,No
jubilant,Yes,No,No,No,No
kind,Yes,No,No,No,No
lazy,No,Yes,No,No,No
lighthearted,Yes,No,No,No,No
like,No,No,No,No,Yes
lively,Yes,No,No,No,No
livid,Yes,No,No,No,No
loathe,No,No,No,No,Yes
loneliness,Yes,No,No,No,No
lonely,Yes,No,No,No,No
lonesome,Yes,No,No,No,No
longing,Yes,No,No,No,No
lost,No,No,No,Yes,No
lousy,No,No,No,Yes,No
lovable,Yes,No,No,No,No
love,Yes,No,No,No,Yes
lovesick,Yes,No,No,No,No
loving,Yes,No,No,No,No
low,Yes,No,No,No,No
lucky,No,No,No,Yes,No
lust,Yes,No,No,No,No
mad,Yes,No,No,No,No
malice,Yes,No,No,No,No
malicious,No,No,No,Yes,No
marvelous,No,No,No,Yes,No
meek,No,No,No,Yes,No
melancholy,Yes,No,No,No,No
merry,Yes,No,No,No,No
mischievous,No,Yes,No,No,No
miserable,Yes,No,No,No,No
misery,Yes,No,No,No,No
mistreated,No,No,No,Yes,No
mixed-up,Yes,No,No,No,No
modest,No,Yes,No,No,No
modesty,No,No,Yes,No,No
mortified,Yes,No,No,No,No
mournful,Yes,No,No,No,No
moved,Yes,No,No,No,No
nauseous,No,No,Yes,No,No
neglected,No,No,No,Yes,No
nervous,Yes,No,No,No,No
nervousness,Yes,No,No,No,No
nonchalant,No,Yes,No,No,No
nostalgia,No,No,Yes,No,No
nostalgic,No,Yes,No,No,No
numb,No,No,Yes,No,No
obstinate,No,Yes,No,No,No
odd,No,No,No,Yes,No
offended,No,No,No,Yes,No
on-edge,No,No,No,Yes,No
oppressed,No,No,No,Yes,No
optimism,Yes,No,No,No,No
optimistic,Yes,No,No,No,No
outrage,Yes,No,No,No,No
outraged,Yes,No,No,No,No
overconfident,No,Yes,No,No,No
overjoyed,Yes,No,No,No,No
overwhelmed,Yes,No,No,No,No
pain,No,No,Yes,No,No
pained,No,Yes,No,No,No
panic,Yes,No,No,No,No
passion,Yes,No,No,No,No
passionate,Yes,No,No,No,No
pathetic,No,No,No,Yes,No
patient,No,Yes,No,No,No
peaceful,No,No,No,Yes,No
peculiar,No,Yes,No,No,No
peeved,Yes,No,No,No,No
perplexed,No,Yes,No,No,No
persecuted,No,No,No,Yes,No
pessimism,No,No,Yes,No,No
pessimistic,No,Yes,No,No,No
petrified,Yes,No,No,No,No
petty,No,Yes,No,No,No
phony,No,No,Yes,No,No
pining,Yes,No,No,No,No
pissed-off,Yes,No,No,No,No
pitiful,No,No,No,Yes,No
pity,Yes,No,No,No,No
placid,Yes,No,No,No,No
playful,No,Yes,No,No,No
pleasant,No,No,No,Yes,No
pleased,Yes,No,No,No,No
pleasure,Yes,No,No,No,No
powerful,No,Yes,No,No,No
prejudiced,No,No,Yes,No,No
pride,Yes,No,No,No,No
protective,No,No,No,Yes,No
proud,Yes,No,No,No,No
purposeful,No,Yes,No,No,No
quiet,No,No,No,Yes,No
rage,Yes,No,No,No,No
reassurance,No,No,No,Yes,No
reassured,No,No,No,Yes,No
rebellious,No,No,No,Yes,No
reckless,No,Yes,No,No,No
refreshed,No,Yes,No,No,No
regret,Yes,No,No,No,No
relaxed,Yes,Yes,No,No,No
relief,Yes,No,No,No,No
relieved,Yes,No,No,No,No
remorse,Yes,No,No,No,No
repentant,No,Yes,No,No,No
resent,No,No,No,No,Yes
resentful,Yes,No,No,No,No
resentment,Yes,No,No,No,No
resigned,No,Yes,No,No,No
respect,No,No,Yes,No,Yes
rested,No,No,Yes,No,No
restless,No,No,Yes,No,No
reverence,No,Yes,No,No,No
revived,No,Yes,No,No,No
ridiculous,No,No,No,Yes,No
rigid,No,Yes,No,No,No
