"cluster","term","score"
1,"little",1.74740845738805
1,"bit",0.301929206875497
1,"just",0.069826988170787
1,"looks",0.0651210313333236
1,"baby",0.0634380700808144
1,"things",0.0473512672889275
1,"tiny",0.0458344049687209
1,"boy",0.0393516465515832
1,"one",0.0349028487522645
1,"xxx",0.0329762169746943
1,"girl",0.0319703363303004
1,"look",0.0313235538958693
2,"one",0.0460675746080539
2,"xxx",0.0396963357083985
2,"go",0.0373077691263727
2,"know",0.0352227912380381
2,"oh",0.0331180123447887
2,"something",0.0315216946148391
2,"play",0.030156601976481
2,"not",0.0286064985226613
2,"think",0.027282799224575
2,"eat",0.0264578795267712
2,"yeah",0.0261837703105755
2,"really",0.0248333925298103
3,"just",1.32805733398161
3,"lamb",0.0721629021398457
3,"baby",0.0709775229488317
3,"looks",0.068003133197822
3,"coats",0.0619103547282034
3,"one",0.0514642647137336
3,"wooly",0.0497425718985231
3,"yeah",0.0346745069500741
3,"look",0.0329954221124826
3,"xxx",0.0305001611880755
3,"huh",0.0303334533011882
3,"right",0.0291881418132603
